[Corpus] 캐시 로드: c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\corpus.json
전체 청크: 31879개
체크포인트: 0개 완료, 0번부터 재시작
새 컬렉션 생성
  [27350/31879] 1163s, ETA 193s
  [27400/31879] 1165s, ETA 190s
  [27450/31879] 1166s, ETA 188s
  [27500/31879] 1168s, ETA 186s
  [27550/31879] 1170s, ETA 184s
  [27600/31879] 1171s, ETA 182s
  [27650/31879] 1173s, ETA 179s
  [27700/31879] 1174s, ETA 177s
  [27750/31879] 1176s, ETA 175s
  [27800/31879] 1179s, ETA 173s
  [27850/31879] 1181s, ETA 171s
  [27900/31879] 1183s, ETA 169s
  [27950/31879] 1184s, ETA 166s
  [28000/31879] 1186s, ETA 164s
  [28050/31879] 1188s, ETA 162s
  [28100/31879] 1189s, ETA 160s
  [28150/31879] 1191s, ETA 158s
  [28200/31879] 1195s, ETA 156s
  [28250/31879] 1196s, ETA 154s
  [28300/31879] 1199s, ETA 152s
  [28350/31879] 1202s, ETA 150s
  [28400/31879] 1204s, ETA 148s
  [28450/31879] 1207s, ETA 145s
  [28500/31879] 1210s, ETA 143s
  [28550/31879] 1213s, ETA 141s
  [28600/31879] 1215s, ETA 139s
  [28650/31879] 1218s, ETA 137s
  [28700/31879] 1221s, ETA 135s
  [28750/31879] 1223s, ETA 133s
  [28800/31879] 1227s, ETA 131s
  [28850/31879] 1230s, ETA 129s
  [28900/31879] 1231s, ETA 127s
  [28950/31879] 1234s, ETA 125s
  [29000/31879] 1235s, ETA 123s
  [29050/31879] 1238s, ETA 121s
  [29100/31879] 1239s, ETA 118s
  [29150/31879] 1241s, ETA 116s
  [29200/31879] 1243s, ETA 114s
  [29250/31879] 1244s, ETA 112s
  [29300/31879] 1246s, ETA 110s
  [29350/31879] 1249s, ETA 108s
  [29400/31879] 1251s, ETA 106s
  [29450/31879] 1254s, ETA 103s
  [29500/31879] 1257s, ETA 101s
  [29550/31879] 1260s, ETA 99s
  [29600/31879] 1263s, ETA 97s
  [29650/31879] 1266s, ETA 95s
  [29700/31879] 1269s, ETA 93s
  [29750/31879] 1270s, ETA 91s
  [29800/31879] 1273s, ETA 89s
  [29850/31879] 1275s, ETA 87s
  [29900/31879] 1277s, ETA 85s
  [29950/31879] 1280s, ETA 82s
  [30000/31879] 1283s, ETA 80s
  [30050/31879] 1284s, ETA 78s
  [30100/31879] 1287s, ETA 76s
  [30150/31879] 1289s, ETA 74s
  [30200/31879] 1292s, ETA 72s
  [30250/31879] 1295s, ETA 70s
  [30300/31879] 1298s, ETA 68s
  [30350/31879] 1301s, ETA 66s
  [30400/31879] 1302s, ETA 63s
  [30450/31879] 1304s, ETA 61s
  [30500/31879] 1306s, ETA 59s
  [30550/31879] 1308s, ETA 57s
  [30600/31879] 1309s, ETA 55s
  [30650/31879] 1311s, ETA 53s
  [30700/31879] 1314s, ETA 50s
  [30750/31879] 1315s, ETA 48s
  [30800/31879] 1316s, ETA 46s
  [30850/31879] 1318s, ETA 44s
  [30900/31879] 1321s, ETA 42s
  [30950/31879] 1322s, ETA 40s
  [31000/31879] 1325s, ETA 38s
  [31050/31879] 1327s, ETA 35s
  [31100/31879] 1330s, ETA 33s
  [31150/31879] 1331s, ETA 31s
  [31200/31879] 1333s, ETA 29s
  [31250/31879] 1335s, ETA 27s
  [31300/31879] 1336s, ETA 25s
  [31350/31879] 1339s, ETA 23s
  [31400/31879] 1340s, ETA 20s
  [31450/31879] 1341s, ETA 18s
  [31500/31879] 1344s, ETA 16s
  [31550/31879] 1346s, ETA 14s
  [31600/31879] 1347s, ETA 12s
  [31650/31879] 1350s, ETA 10s
  [31700/31879] 1352s, ETA 8s
  [31750/31879] 1354s, ETA 6s
  [31800/31879] 1356s, ETA 3s
  [31850/31879] 1358s, ETA 1s
  [31879/31879] 1360s, ETA 0s

완료! 총 31879개 저장 (1360s)
